,question,answer,context,predicted_answer,cost,length,time taken,accuracy
10,Does AXA cover mental health services?,"AXA provides coverage for treatment of psychiatric illness as an in-patient, day-patient, or out-patient, with up to 100 days in a lifetime for in-patient treatment at a hospital providing evidence-based treatment of psychiatric illness with 24-hour medical supervision","If you want to claim this benefit you should call us on +44 (0) 1892 503 856 and we will explain what to do next. Please remember to ask the provider of your external prosthesis for a fully itemised receipt as we cannot pay claims without a receipt. What is not covered? We do not cover the costs of providing or fitting external prostheses or appliances needed for any other reason. Prostheses and appliances include items such as crutches and joint supports. Page 37 4.13 > Fat removal We do not cover the removal of fat or surplus tissue, such as abdominoplasty (tummy tuck), whether the removal is needed for medical or psychological reasons. » See also 4.9 > Cosmetic surgery 4.14 > Gender re-assignment or gender confirmation We do not cover gender re-assignment or gender confirmation treatment. What is not covered? We will not cover any of the following when they are connected to gender reassignment or gender confirmation in any way: • gender reassignment operations or other surgical treatment; or • psychotherapy or similar services; or • any other treatment. 4.15 > Hormone replacement therapy (HRT) We cover hormone replacement therapy (HRT) that is required following a medical intervention. We will pay for the medical practitioner’s consultations and the cost of HRT implants, patches or tablets for a maximum of 18 months following the intervention. Patches and tablets are subject to your out-patient drugs and dressings limit shown in section 1.4 > Your cover. 4.16 > Infertility and assisted reproduction We do not cover investigations or treatment of infertility and assisted reproduction. This includes: • treatment to prevent future miscarriage; or • treatment to increase fertility; or • investigations into miscarriage; or • assisted reproduction; or • anything that happens, or any treatment you need, as a result of these treatments or investigations. 4.17 > Kidney dialysis We cover kidney dialysis in the following situations: • regular or long-term kidney dialysis if you have chronic kidney failure • for up to six weeks if you are being prepared for kidney transplant. » See also Kidney dialysis in section 1.4 > Your cover for details of the limits on this cover » See also 4.23 > Organ or tissue donation 4.18 > Learning and developmental disorders We do not cover any treatment, investigations, assessment or grading to do with: Page 38 • learning disorders • educational problems • behavioural problems • physical development • psychological development • speech delay. Some examples of the conditions we do not cover are the following (please call if you would like to know if a condition is covered): • dyslexia • dyspraxia • autistic spectrum disorder • attention deficit hyperactivity disorder (ADHD) • speech and language problems, including speech therapy needed because of another medical condition. 4.19 > Long sightedness, short sightedness and astigmatism We do not cover any treatment to correct long sightedness, short sightedness or astigmatism. However, we do cover treatment to correct astigmatism if the astigmatism is due to surgical replacement of the lens of the eye. Eye tests We will pay towards the cost of one eye test per year. What you need to claim for your eye test. We cannot pay any claims without a receipt. To claim for your eye test, please ask your optician for full receipts. Then call us and we will explain how to send in your receipts. Prescribed glasses and contact lenses We will pay towards the cost of prescribed glasses and prescribed contact lenses needed to correct vision. What is not covered? We will not pay towards the cost of: • contact lens check ups • contact lens solutions • new frames • non-prescribed glasses • repairs to glasses • replacements that you need because of accidental damage • non-prescribed items that you buy as part of an eye care contract scheme. Page 39 4.20 > Mental health We will cover treatment for psychiatric illness as an in-patient, day-patient or out-patient. We will cover you for up to 100 days in your lifetime for treatment as an in-patient at a hospital providing evidence based treatment of psychiatric illness with 24 hour medical supervision. All the other conditions of your policy still apply to this cover","AXA covers mental health services, including treatment for psychiatric illness as an in-patient, day-patient, or out-patient, with a lifetime limit of 100 days for in-patient treatment.",0.0007304,185,3.357827663421631,1
11,How do I renew my AXA health insurance policy?,You can renew your AXA health insurance policy by paying the premium applicable at the time of renewal before the expiry date,"Waiting Periods & Co-insurance a) Our In-patient and Daycare Treatment, Out-patient Treatment, Routine Optical Care, Psychiatric Treatment & Vaccination benefits will be covered from the date of commencement of cover. b) The following benefits will not be payable during the specified waiting periods: Benefits Waiting Period (From date of commencement of cover) Health Screen, Pre and Post-natal Complications, Pregnancy and Delivery, Hospice and Palliative Care. 12 months Pre-existing conditions 9 months (Plan 1 and 2)12 months (Plan 3 and 4) c) A 20% co-insurance is applicable to routine dental benefit available under Plan 1. No other co-insurance/deductible is applied to any other benefits. 4. Change of principle country of residence If you change your principal country of residence (the country where you live or intend to live for most of the year being 185 days or more) you must tell us as this may affect your eligibility. 5. Outside Area of Cover If you are outside the area of cover, we will only provide cover for emergency treatment. We will, in consultation with the treating medical practitioner, retain the right to determine what constitutes ‘emergency’ treatment. There is no coverage for treatment for any condition if you have travelled outside your area of cover to get treatment (whether or not that was the only reason) or for any treatment which was, or may have reasonably been known about, before travel commenced. Under no circumstance will benefit be payable for any aspect of pregnancy or childbirth. 8 6. Policy Renewal/ Renewal Premium a) This is a yearly renewable policy. Unless renewed, the coverage will cease on expiry date and the insurance company shall strictly not be liable for any expenses that take place after the expiry date. On or before the expiry of your policy, and subject to our acceptance, you may renew this policy by paying the premium applicable at the time of renewal. This shall not apply in the event that the policy expires, or is terminated or cancelled in accordance with the terms of this policy and you should subsequently wish to reapply for insurance cover under this policy. b) Premium rates are not guaranteed and the premium payable at renewal shall be determined at each renewal based on the attained age of each member, the premium rates then in effect, and any other factors which may materially affect the risks insured. c) We have the right to cancel or change all or any part of your policy from any renewal date by giving you at least thirty (30) days written notice prior to the renewal date. We will not change the terms of your policy alone simply as a result of your personal claims. However, we will make changes only to reflect any past or foreseeable changes in medical practice or procedures and the claims experience. The purpose of such changes will be to seek, as far as possible, to maintain substantially the same level and type of cover in place while ensuring that the plan remains affordable. 7. Free look Period You have a free-look period of 15 business days from the date that you receive this Policy to review it. You are deemed to have received the Policy within 3 days after we have dispatched it. If you decide that this Policy does not suit your needs, you may request to cancel it by giving us clear, written instructions and returning the Policy documents and membership card(s) to us within the free-look period. Provided that no claims have been made during this period, we shall refund the premiums paid by you in full without interest. This free-look period shall not apply to policy renewals. 8. Disadvantages of switching policy from one insurer to another One of the main disadvantages is if your current health status is less favourable to the new insurer, new terms may be imposed to exclude such illness. To ensure continuous cover is provided, you are advised to check with us on the accepting terms prior to your policy expiry date. 9. Needs and Affordability You should satisfy yourself that this policy will best serve your needs and that the premium payable under the policy is an amount that you can afford. Should you require additional information about our InternationalExclusive Policy, you may contact us or your insurance agent. For additional information about medical and health insurance, please refer to the insuranceinfo booklet on ‘Medical & Health Insurance’, which is available at all our branches","To renew your AXA health insurance policy, you must pay the renewal premium on or before the expiry date, and the premium rate may vary based on factors like age and claims experience.",0.00071642,184,2.8065221309661865,1
12,What is the maximum coverage limit for AXA's health insurance plans?,"The overall annual limit for AXA’s health insurance plans varies based on the plan chosen: Plan 1 - up to RM9,000,000, Plan 2 - up to RM7,000,000, Plan 3 - up to RM3,000,000, Plan 4 (In-patient plan) - up to RM3,000,000","ubject to the limitations applied for ‘Pre-hospitalisation treatment’ or ‘Post-hospitalisation treatment’ benefits. Courses of chiropractic treatment, acupuncture, homeopathy and osteopathy up to RM3,600 RM3,600 RM3,600 No benefit Traditional Chinese Medicine up to RM180 per visit up to 20 visits per year RM180 per visit up to 20 visits per year RM180 per visit up to 20 visits per year No benefit Courses of physiotherapy Included Included Included Included if it is part of post-hospitalisation treatment and subject to the limitations applied for ‘Post-hospitalisation treatment’ benefit. Radiotherapy and/or Chemotherapy Included Included Included Included Kidney Dialysis Included Included Included Included Other Benefits Health screen up to RM3,000 - available only after 12 months membership No benefit No benefit No benefit Pre-existing conditions up to Years 1 & 2: RM7,000 Available only after 9 months membership Subsequent years: RM14,000 Years 1 & 2: RM7,000 Available only after 9 months membership Subsequent years: RM14,000 RM3,500 Available only after 12 months membership RM3,500 Available only after 12 months membership Maintenance of non pre-existing chronic conditions Included Included Included No benefit Oral and maxillofacial surgery Included Included Included Included Ambulance transport Included Included Included Included International Emergency Medical Assistance Included Included Included Included Psychiatric treatment up to RM24,000 RM14,000 RM14,000 No benefit Accidental damage to teeth Included Included Included Included Pre and post natal complications Included - available only after 12 months membership Included - available only after 12 months membership Included - available only after 12 months membership No benefit Pregnancy and delivery up to RM43,000 - available only after 12 months membership No benefit No benefit No benefit Vaccination up to RM4,800 RM3,800 RM1,300 No benefit Routine dental care up to 80% of eligible expenses incurred up to RM3,800 No benefit No benefit No benefit Routine optical care up to RM900 No benefit No benefit No benefit Hospice and palliative care up to RM120,000 in a member’s lifetimeAvailable only after 12 months membership RM95,000 in a member’s lifetime Available only after 12 months membership RM95,000 in a member’s lifetime Available only after 12 months membership RM60,000 in a member’s lifetime Available only after 12 months membership Important Notes – Please refer to the premium table for details of charges. – Full details of the policy cover, pre-authorisation, definitions and exclusions are contained in your policy wording, personal handbook and membership agreement. – AXA Affin General Insurance Berhad requests all clients to provide a disclosure or updated disclosure of any employees or dependents located in sanctioned countries. If you have any employees and/or their dependents working, residing or spending time in sanctioned countries or regions, you must notify us in writing immediately. 4 Please note: benefit values are per person each year unless otherwise specified and are reduced each time you claim only by the net amount (less any deductible or co- insurance) we have actually paid. Please refer to the policy wordings on full terms applying to these benefits. Plan Plan 1 Plan 2 Plan 3 Plan 4 (In-patient plan) Overall annual limit Yearly maximum up to RM9,000,000 RM7,000,000 RM3,000,000 RM3,000,000 Area of cover Area of cover 1. Worldwide 2. Worldwide excluding USA ∆ 3. Asia # 1. Worldwide 2. Worldwide excluding USA ∆ 3. Asia # 1. Worldwide 2. Worldwide excluding USA ∆ 3. Asia # 1. Worldwide 2. Worldwide excluding USA ∆ 3. Asia # Outside area of cover Emergency treatment only Emergency treatment only Emergency treatment only Emergency treatment only Level of Reimbursement Reasonable and customary (R&C) charges Reasonable and customary (R&C) charges Reasonable and customary (R&C) charges Reasonable and customary (R&C) charges In-patient and daycare treatment (including surgery, consultations, consumables etc.) Daily accommodation charges Standard single room Standard single room Standard single room Standard single room Parent Accommodation up to RM500 per night RM500 per night RM500 per night RM500 per night Cash benefit RM700 per night RM500 per night RM500 per night RM500 per night Pre-Hospitalisation treatment Included within the ‘General Practitioner and Specialist Consultation Charges’ benefit","The maximum coverage limit for AXA's health insurance plans is RM9,000,000 annually.",0.0008012099999999999,84,1.9736289978027344,1
13,Does AXA offer international health insurance coverage?,"AXA provides international health insurance coverage, offering access to a range of services for eligible conditions, diagnostics, treatments, and emergency evacuation and repatriation","Employees who have ongoing or recent medical symptoms, whether they have seen a doctor or been diagnosed with a specific condition or not, are unlikely to be able to use this product to receive private treatment for those symptoms. What are the key value elements/ characteristics of the product that are important for the target market (including notable exclusions)? These comprehensive private health insurance products provide customers with access to a range of services for eligible conditions, diagnostics and treatments including: • In-patient and day patient treatment; • Surgical out-patient treatment; • Cancer treatment; • Access to healthcare experts; and • Emergency evacuation and repatriation. A fully comprehensive private international health insurance product may be out of reach for many, so these products offer choice and affordability through offering several levels of cover. Customers can select from a range of plans to fit their needs with benefits, including: • Specialist consultations and diagnostic tests as an out-patient; • Out-patient therapies e.g. physiotherapist; • Complementary practitioner charges; • New chronic conditions; • Mental health treatments; • Pregnancy and childbirth cover; • Annual health checks; • Optical cover; • Dental treatment; and • Travel Insurance. Depending on the plan level selected customers can also choose the option to include: • Increased out-patient benefits; • Increased dental benefits; and • Travel Insurance. Customers can also tailor benefits to meet their needs and goals by making changes to how the plan responds in the event of a claim by choosing from a range of excess options. This option could potentially be used by the target market to mitigate short term financial vulnerability. Page 4 Does the product include optional covers? Plan cover will vary based on option selected. How should this product be distributed? The distribution strategy is considered appropriate for the target market with customers having the option to purchase direct from AXA – Global Healthcare or a private health insurance specialist intermediary of their choice. These products are considered suitable for advised and non- advised sales by suitably skilled agents via telephone, face to face or an appropriately designed on-line journey. AXA – Global Healthcare’s customer outcomes assessment procedures will help to identify if the product is reaching customers outside the intended target What should distributors do to ensure the product provides fair value to the end customer? To ensure the customer receives fair value for this product, care must be taken to ensure no duplicate cover exists or is caused by an add-on where that cover is already provided by the policy. Commission, fees, or charges passed onto the customer must be proportionate to the service provided and provide fair value. How can the product be sold? Can it be sold without advice? We would suggest that this product can be sold face to face or via telephone. This product can be sold with or without advice depending on your preference and in line with FCA regulations. How is value assessed? AXA XL has established a product governance process to oversee the design, approval, and review of all our products in line with the requirements of the FCA’s Product Intervention and Product Governance Sourcebook (‘PROD’). New product developments and changes to existing products are taken through a formal product approval process which is designed to: • Identify the target market and its needs. • Review policy wording and customer facing documentation to ensure it is clear, fair, and not misleading • consider the needs of any vulnerable customers; and • monitor post-sales performance. • Once a new or amended product is introduced to the market, AXA XL will annually review the product on a fair value assessment basis, using key performance metrics to see if any remedial actions are required and to make sure it Page 5 remains suitable for customers in the identified target market. If, as a distributor of AXA XL products, you consider one of our products may be failing to meet customers’ needs or is potentially unclear you can help us by providing feedback through your usual point of contact at AXA XL. Additional Product Literature: This document is to be read in conjunction with the appropriate policy wording.",AXA offers international health insurance coverage with various levels of plans and optional covers to meet different needs and budgets.,0.00064682,136,2.7222471237182617,1
14,How does AXA's prescription drug coverage work?,"Prescription drugs covered by AXA are paid for by the policy if prescribed by a medical practitioner and are part of the medical treatment covered by the policy. Providers may ask for payment upfront, and you can claim the cost back from AXA","Paying claims for in-patient and day-patient treatment at a hospital where we have arrangements for making direct payments If you have your treatment at a hospital listed in our network of hospitals, we will pay the hospital directly for treatment covered by your policy. Always remember to contact us before you have your treatment so that we can set up any direct payment arrangements with the hospital before your visit. Paying claims for in-patient and day-patient treatment at other hospitals If you have treatment that you are covered for at a hospital that is not in our network of hospitals, we may still be able to pay the hospital directly. Always remember to contact us before you have your treatment so that we can get in touch with the hospital you’ve chosen and try to arrange to pay them directly for your treatment. Paying claims for out-patient treatment If you have out-patient treatment, most providers will ask you to pay for your treatment and then make your claim to us. However, some providers will allow you to have your out-patient treatment on the understanding that they will claim the cost back from us. You can search for an out-patient provider at: ​axaglobalhealthcare.com/customer​. You may be asked to show your AXA membership card and a separate form of photo ID when you have your treatment. The treatments that we will cover directly at certain medical providers are: • GP/family doctor consultations • specialist consultations • prescription drugs and dressings • minor diagnostic tests, for example x-rays or ultrasounds • blood tests • up to the first five sessions of physiotherapy (you will need to ask us to pre-approve further sessions) • vaccinations. If it turns out that your treatment is not covered, you will be asked to pay for the cost of the treatment. Page 19 How should I claim if I have already paid for my treatment? If you want to claim for medical bills you have paid yourself, you must make your claim within six months of the date of payment unless that is not reasonably possible. Please contact us on the claims number or at ​axaglobalhealthcare.com/customer​ and we will explain how to claim. If you pay for any treatment yourself, always get a fully receipted invoice that shows how much you have paid for the treatment. You will need this if you want to claim, and for your own records. If your treatment is being provided as part of a package, we will reimburse the cost of the package once all treatment has taken place. If your treatment provider is able to provide a breakdown of the treatment you have received to date, we may be able to reimburse some of the costs before the package of treatment is complete. We may ask you to provide more information to support your claim, for example your card receipt or a copy of your statement. You must provide us with the information we ask for as soon as reasonably possible so that we can assess your claim. We will pay you for the cost of the treatment we cover. If it turns out that your treatment or part of it is not covered, we will not reimburse you for the cost of the treatment that is not covered. What happens if I receive a bill? If you receive a bill, please contact us on the claims number or at ​axaglobalhealthcare.com/customer​ We’ll explain how to send the bill to us so that we can assess it. What should I do if I need further treatment? If you need further treatment, please call us first to confirm your cover. What currency will I be paid in? We will pay you in the currency that you request when you make a claim. The currency must be in our list of currencies we can pay in. To see the list, go to the ‘How bills are paid’ page on ​axaglobalhealthcare.com​ We will use the exchange rate listed in the Financial Times Guide to World Currencies on the day of your treatment for out-patient and day-patient treatment, and the day of your admission for in-patient treatment. Where there are currency or exchange rate controls in place, we may not use the rate listed in the Financial Times. In these circumstances, we may contact you to request evidence of the exchange rate used when you purchased the currency and we will use that exchange rate to reimburse you. Charges from your bank You should contact your own bank to find out if they will make any charges for you to send or receive money, or to exchange currency. Any charges from your bank are not covered by your policy. 2.2 > The information we may need when you make a claim When you call us, we will explain if your treatment is covered. Usually, this all happens very quickly","AXA's prescription drug coverage is included in the treatments paid directly at certain medical providers, provided the drugs are part of a covered treatment.",0.00074459,158,2.773528575897217,1
15,What is the appeals process if a claim is denied?,"If a claim is denied, you can typically file an appeal by going to the AXA website and submitting a request along with any additional supporting documentation. AXA usually has a specific timeframe and process for reviewing appeals.",AXA has formal processes for appealing denied claims. This often involves submitting additional information or documentation to support the claim. Go to the AXA website for more details.,The appeals process for a denied claim with AXA involves submitting additional information or documentation to support your claim; visit the AXA website for more details.,0.00016817999999999998,170,2.9005067348480225,1
16,Does AXA offer wellness programs or preventive care benefits?,"""Many AXA plans include wellness programs and preventive care benefits such as annual check-ups, vaccinations, and health screenings at no additional cost.""","Many insurance companies now emphasize preventive care and wellness, often offering these services at reduced or no cost to encourage better health outcomes.  Preventive care benefits such as annual check-ups, vaccinations, and health screenings are available at no additional cost.","AXA offers wellness programs and preventive care benefits to encourage better health outcomes, including services like annual check-ups, vaccinations, and health screenings at no additional cost.",0.00017893,195,2.257340431213379,1
17,How can I contact AXA's customer service?,You can contact AXA’s customer service by calling (603) 2170 8282 or emailing ​customer.service@axa.com.my​ ,"You can also obtain a copy of the booklet from your insurance agent or visit ​www.insuranceinfo.com.my​. 9 10 Notes H AP -B -0 1 1 6 motor property leisure & travel healthcare personal accident business packages liability marine Providing comprehensive and tailored solutions for your personal protection and business needs Contact Us (603) 2170 8282 ​www.axa.com.my​ AXA Affin General Insurance Berhad (23820-W) Ground Floor, Wisma Boustead, 71 Jalan Raja Chulan 50200 Kuala Lumpur, Malaysia Tel: (603) 2170 8282 Fax: (603) 2031 7282 E-mail: ​customer.service@axa.com.my",You can contact AXA's customer service at (603) 2170 8282 or via email at customer.service@axa.com.my.,0.00026406,102,2.338186502456665,1
18,What happens to my coverage if I change countries?,"If you change countries, you must inform AXA Healthcare as it may affect your eligibility and coverage. AXA Healthcare may not be able to provide insurance in some countries, so it’s essential to ensure your cover remains valid if you move","If you’re unsure whether the change is important, it’s best to tell us and we can explain if it affects your policy. Change of country of residence You must tell us if there’s a change of country of residence or domicile country. We are not able to provide insurance in some countries, so it’s your responsibility to check that your cover is still valid if you move. Changes to any details you give us when you join If you send us any form, and anything changes between the time you send the form and the time we confirm that we have made the change shown in the form, you must tell us. This includes if there’s a change in your country of residence or domicile country. 5.7 > Why premiums change Premiums for health insurance tend to increase every year, regardless of which health insurance company you use. Why do my premium(s) increase every year? There are a number of reasons why the cost of your healthcare insurance could increase. We review premiums each year and make calculations based on a number of factors. Two of the more common reasons are because: • Your premium(s) will tend to rise as you get older. This is because, unfortunately, as we get older we all tend to suffer more health issues • The cost of medical treatment tends to rise too as new and better ways of diagnosing and treating diseases are developed. We regularly review our plans to keep them up to date and to include new tests and treatments where we can. Page 51 What happens if my premium(s) are to change? Your premium(s) will only change at renewal or if something changes, such as adding a new baby, during the year. We will tell you about any changes to your premium(s) in plenty of time. Is there anything I can do to reduce my premium(s)? There are a few things that you may be able to do to reduce your premium(s). For example you can: • add an excess, or set a higher excess • remove the dental upgrade or change your plan. Please call us on +44 (0)1892 503 856 and we can talk about your options. 5.8 > Making a complaint Our aim is to make sure you’re always happy with your policy. If things do go wrong, it’s important to us that we put things right as quickly as possible. Making a complaint If you want to make a complaint, you can call us or write to us using the contact details below. To help us resolve your complaint, please give us the following details: • your name and policy number • a contact phone number • the details of your complaint • any relevant information that we may not have already seen. Please call us on +44 (0)1892 503 856, email us at ​AGHCustomerRelations@axa.com​ or write to: AXA Global Healthcare Phillips House, Crescent Road, Tunbridge Wells, Kent England TN1 2PL Answering your complaint We’ll respond to your complaint as quickly as we can. If we can’t get back to you straight away, we’ll contact you within five working days to explain the next steps. We always aim to resolve things within eight weeks from when you first told us about your concerns. If it looks like it will take us longer than this, we will let you know the reasons for the delay and regularly keep you up to date with our progress. The Financial Ombudsman Service You may be entitled to refer your complaint to the Financial Ombudsman Service. The Financial Ombudsman Service can liaise with us directly about your complaint and if we can’t fully respond to a complaint within eight weeks or if you are unhappy with our final response, you can ask the Financial Ombudsman Service for an independent review. ​mailto:AGHCustomerRelations@axa.com​ Page 52 The Financial Ombudsman Service Exchange Tower Harbour Exchange Square London E14 9SR UK Phone: +44 (0)20 7964 0500 Phone from UK and Channel Islands: 0800 023 4567 or 0300 123 9 123 Email: ​complaint.info@financial-ombudsman.org.uk​ Website: ​financial-ombudsman.org.uk​ Your legal rights None of the information in section 5.8 > Making a complaint, affects your legal rights","If you change countries, you must inform us as it may affect your coverage, and it's your responsibility to ensure your policy remains valid in your new country of residence.",0.00073085,174,2.8709397315979004,1
19,Does AXA cover alternative therapies like acupuncture?,AXA covers courses of acupuncture treatment up to specified limits depending on the plan chosen,"Subject to the limitations applied for ‘Pre-hospitalisation treatment’ or ‘Post-hospitalisation treatment’ benefits. Courses of chiropractic treatment, acupuncture, homeopathy and osteopathy up to RM3,600 RM3,600 RM3,600 No benefit Traditional Chinese Medicine up to RM180 per visit up to 20 visits per year RM180 per visit up to 20 visits per year RM180 per visit up to 20 visits per year No benefit Courses of physiotherapy Included Included Included Included if it is part of post-hospitalisation treatment and subject to the limitations applied for ‘Post-hospitalisation treatment’ benefit. Radiotherapy and/or Chemotherapy Included Included Included Included Kidney Dialysis Included Included Included Included Other Benefits Health screen up to RM3,000 - available only after 12 months membership No benefit No benefit No benefit Pre-existing conditions up to Years 1 & 2: RM7,000 Available only after 9 months membership Subsequent years: RM14,000 Years 1 & 2: RM7,000 Available only after 9 months membership Subsequent years: RM14,000 RM3,500 Available only after 12 months membership RM3,500 Available only after 12 months membership Maintenance of non pre-existing chronic conditions Included Included Included No benefit Oral and maxillofacial surgery Included Included Included Included Ambulance transport Included Included Included Included International Emergency Medical Assistance Included Included Included Included Psychiatric treatment up to RM24,000 RM14,000 RM14,000 No benefit Accidental damage to teeth Included Included Included Included Pre and post natal complications Included - available only after 12 months membership Included - available only after 12 months membership Included - available only after 12 months membership No benefit Pregnancy and delivery up to RM43,000 - available only after 12 months membership No benefit No benefit No benefit Vaccination up to RM4,800 RM3,800 RM1,300 No benefit Routine dental care up to 80% of eligible expenses incurred up to RM3,800 No benefit No benefit No benefit Routine optical care up to RM900 No benefit No benefit No benefit Hospice and palliative care up to RM120,000 in a member’s lifetimeAvailable only after 12 months membership RM95,000 in a member’s lifetime Available only after 12 months membership RM95,000 in a member’s lifetime Available only after 12 months membership RM60,000 in a member’s lifetime Available only after 12 months membership Important Notes – Please refer to the premium table for details of charges. – Full details of the policy cover, pre-authorisation, definitions and exclusions are contained in your policy wording, personal handbook and membership agreement. – AXA Affin General Insurance Berhad requests all clients to provide a disclosure or updated disclosure of any employees or dependents located in sanctioned countries. If you have any employees and/or their dependents working, residing or spending time in sanctioned countries or regions, you must notify us in writing immediately. 4 Please note: benefit values are per person each year unless otherwise specified and are reduced each time you claim only by the net amount (less any deductible or co- insurance) we have actually paid. Please refer to the policy wordings on full terms applying to these benefits. Plan Plan 1 Plan 2 Plan 3 Plan 4 (In-patient plan) Overall annual limit Yearly maximum up to RM9,000,000 RM7,000,000 RM3,000,000 RM3,000,000 Area of cover Area of cover 1. Worldwide 2. Worldwide excluding USA ∆ 3. Asia # 1. Worldwide 2. Worldwide excluding USA ∆ 3. Asia # 1. Worldwide 2. Worldwide excluding USA ∆ 3. Asia # 1. Worldwide 2. Worldwide excluding USA ∆ 3. Asia # Outside area of cover Emergency treatment only Emergency treatment only Emergency treatment only Emergency treatment only Level of Reimbursement Reasonable and customary (R&C) charges Reasonable and customary (R&C) charges Reasonable and customary (R&C) charges Reasonable and customary (R&C) charges In-patient and daycare treatment (including surgery, consultations, consumables etc.) Daily accommodation charges Standard single room Standard single room Standard single room Standard single room Parent Accommodation up to RM500 per night RM500 per night RM500 per night RM500 per night Cash benefit RM700 per night RM500 per night RM500 per night RM500 per night Pre-Hospitalisation treatment Included within the ‘General Practitioner and Specialist Consultation Charges’ benefit","AXA covers acupuncture up to RM3,600 per year under the specified plans.",0.0007941799999999999,72,1.89797043800354,1
20,How does AXA handle emergency medical evacuations?,"AXA covers emergency medical evacuations if the medical condition requires immediate in-patient treatment, and other specific conditions are met. The evacuation must be approved by AXA first, and certain exclusions apply","If you are both at the location where you normally live and they have to be evacuated or repatriated from that location, we will pay for your additional reasonable and necessary transport costs that result Page 16 from the evacuation or repatriation. We will do this if it is medically appropriate for you to travel with the family member. We will not cover your accommodation costs. What will happen to my travel ticket? Any unused portion of the travel tickets belonging to you or anyone that we evacuate with you will immediately become our property. You must give the tickets to us. Can I choose to travel to a particular country for treatment? You can choose to go to a particular country for treatment, but we will not cover the cost of travelling to that country. Once you are in that country, the terms of the policy apply as normal. Exclusions that apply to your cover for emergency evacuation and repatriation You are not covered for emergency evacuation or repatriation if any of the following apply: • the medical condition does not need immediate emergency in-patient treatment • the medical condition does not prevent you from travelling or working • the medical condition is directly or indirectly caused by a deliberately self-inflicted injury, suicide or an attempt at suicide • the medical condition is in any way connected with alcohol abuse, drug abuse or substance abuse • the medical condition is a result of engaging in or training for any sport for which you receive a salary or monetary reimbursement, including grants or sponsorship (unless you only receive travel costs) • the medical condition is a result of base jumping, cliff diving, flying in an unlicensed aircraft or as a learner, martial arts, free climbing, mountaineering with or without ropes, scuba diving to a depth of more than 10 metres, trekking to a height of over 2,500 metres, bungee jumping, canyoning, hang-gliding, paragliding or microlighting, parachuting, potholing, skiing off piste or any other winter sports activity carried out off piste • the evacuation would involve moving you from a ship, oil-rig platform or similar off- shore location • we have not approved the evacuation or repatriation first • we have not been told about the medical condition within 30 days of the condition becoming an emergency (unless this was not reasonably possible) • the medical condition is a result of nuclear, biological or chemical contamination, war (whether declared or not), act of foreign enemy, invasion, civil war, riot, rebellion, insurrection, revolution, overthrow of a legally constituted government, explosions of war weapons or any event similar to one of those listed • the emergency occurs when you are on a leisure trip to a destination to which the UK Foreign and Commonwealth Office either advises against all travel, or advises against all travel on holiday or non-essential business. Limits on our liability under your cover for emergency evacuation and repatriation We will not be liable for: • any failure or delay in providing emergency evacuation or repatriation • injury or death while you are being moved. These limits do not apply if the failure or delay is caused by our negligence or the negligence of someone we have appointed to act for us. Page 17 2 Making a claim 1 Get in touch with us before you see the medical practitioner • Go to your account at ​axaglobalhealthcare.com/customer​ • Call us on +44 (0)1892 503 856 • For treatment in the USA, call us on +1 800 308 2611 Make sure you contact us before you see the medical practitioner or have any treatment. We’ll be able to explain your cover so you don’t end up having to pay for treatment you’re not covered for. 2 We’ll check your cover and let you know what happens next. We may ask you to provide more information, for example from your medical practitioner. You or your medical practitioner must provide us with the information we ask for as soon as reasonably possible so that we can assess your claim. Page 18 2.1 > How we pay claims About our network of hospitals We have arrangements for making direct payments with some hospitals. You can check these in our network of hospitals, which you will find at ​axaglobalhealthcare.com/customer​ The hospitals in the network of hospitals are continuously reviewed, so you should always check with us before arranging any treatment","AXA will pay for your additional reasonable and necessary transport costs resulting from the evacuation or repatriation if it is medically appropriate for you to travel with a family member, but not for your accommodation costs.",0.00072721,228,2.6663131713867188,0
21,What is the difference between copayments and coinsurance in AXA plans?,"A copayment is a fixed amount you pay for a service (e.g., $20 for a doctor's visit), while coinsurance is a percentage of the cost you pay (e.g., 20% of a hospital stay).",Copayments and coinsurance are two common ways that insurance plans structure out-of-pocket costs for policyholders. Understanding the difference is important for managing healthcare expenses.,"In AXA plans, copayments are fixed amounts you pay for covered services, while coinsurance is a percentage of the cost you pay after meeting your deductible.",0.00017265,157,2.269547700881958,1
22,Does AXA offer telemedicine services?,"AXA provides access to Health at Hand, a 24/7 health information service where you can speak to medical professionals for immediate help and information ","As a member you will have access to our health information service, Health at Hand. All calls are made in complete confidence. Supported by one of the largest electronic medical libraries in Europe, you can get free, immediate help and information 24 hours a day, 365 days a year. Although this award winning service isn’t there to replace your doctor, it’s reassuring to know you can pick up the phone and talk to a professional whenever you wish. They can also send free fact sheets and leaflets on a wide range of medical issues, conditions and treatments. This distinctive service is staffed by: • Registered nurses, midwives and pharmacists who have over 300 years’ combined experience.","AXA offers telemedicine services through their Health at Hand platform, providing 24/7 access to health information and professional advice from registered nurses, midwives, and pharmacists.",0.0002414,190,1.9895479679107666,1
